product sku,product title,product_description,image
SKU:  MKS82502700 ,McKesson Expectorant Liquid Brand 100 mg 16 oz. ,Expectorant Liquid Brand 100 mg 16 oz. ,expectorant-liquid-brand-100-mg-16-oz-47b.jpg
SKU:  MKS88012700 ,McKesson Sunmark Allergy Relief 10 mg 90 per Bottle ,Sunmark Allergy Relief 10 mg 90 per Bottle ,sunmark-allergy-relief-10-mg-90-per-bottle--404.jpg
SKU:  MKS90162700 ,McKesson Cough Relief Liquid Brand 16 oz. ,Cough Relief Liquid McKesson Brand 16 oz. ,cough-relief-liquid-brand-16-oz--a38.jpg
SKU:  SAJD7710429 ,SAJ Distributors Cough Drop Menthol Sugar Free Compare to Halls ,Cough Drop Menthol Sugar Free. ,cough-drop-menthol-sugar-free-compare-to-halls--cb3.jpg
SKU:  MRPS700787 ,Major Pharmaceuticals Robafen Dm Clear Syrup-Sugar Free ,"Robafen DM, Clear, 120mL, Compare to Robitussin DM Cough, NDC# 00904-5180-20. ",robafen-dm-clear-syrup-sugar-free-e2d.jpg
SKU:  MRPS238162 ,Major Pharmaceuticals Guaifenesin 200mg 100s Compare to Organidin® NDC# 00904-5154-60 ,"Feature Guaifenesin, 200mg, 100's, Compare to Organidin, NDC# 00904-5154-60 ",guaifenesin-200mg-100s-compare-to-organidinreg-ndc-00904-5154-60-423.jpg
SKU:  MRPS300033 ,"Major Pharmaceuticals Daytime Liquid Caplets, PE Formula, 12s ","Daytime Liquid Caplets, PE Formula, 16s, Compare to Dayquil, NDC# 00904-5763-44. ",daytime-liquid-caplets-pe-formula-12s-71a.jpg
SKU:  SAJD7270069 ,"SAJ Distributors Cough Control, Expectorant, Compare to Robitussin®, 8 oz, 12/cs (UPC 01512700416) (For Sale in US Only) ","Feature Cough Control, Expectorant, Compare to Robitussin, 8 oz, 12/cs (UPC 01512700416) ",cough-control-expectorant-compare-to-robitussinreg-8-oz-12-cs-upc-01512700416-for-sale-in-us-only-554.jpg
SKU:  SAJD5260187 ,SAJ Distributors Cough Tablet Expectorant Active Ingredient Guaifenesin 400mg 100s ,"Feature Cough Tablet, Expectorant, Active Ingredient Guaifenesin 400mg, 100's, 24/cs (UPC 01512701643) ",cough-tablet-expectorant-active-ingredient-guaifenesin-400mg-100s-587.jpg
SKU:  MRPS250068 ,Major Pharmaceuticals Banophen Mini-Tabs 25mg 100s Compare to Benadryl Mini-Tabs NDC# 00904-5551-59 ,Banophen Mini-Tabs 25mg 100s Compare to Benadryl Mini-Tabs NDC# 00904-5551-59 ,banophen-mini-tabs-25mg-100s-compare-to-benadryl-mini-tabs-ndc-00904-5551-59-0e4.jpg
SKU:  MRPS100112 ,Major Pharmaceuticals Sudogest PE 10mg 36s ,Sudogest PE 10mg 36s Compare to Sudafed PE Tabs ,sudogest-pe-10mg-36s-0d7.jpg
SKU:  MRPS235937 ,"Major Pharmaceuticals Chlorpheniramine, 4mg, 1000s, Compare to Chlor-trimeton ","Feature Chlorpheniramine, 4mg, 1000's, Compare to Chlor-trimeton, NDC# 00904-0012-80 ",chlorpheniramine-4mg-1000s-compare-to-chlor-trimeton-732.jpg
SKU:  MRPS247189 ,Major Pharmaceuticals Banophen 480mL Compare to Benadryl Elixir NDC# 00904-5174-16 ,Banophen 480mL Compare to Benadryl Elixir NDC# 00904-5174-16 ,banophen-480ml-compare-to-benadryl-elixir-ndc-00904-5174-16-82a.jpg
SKU:  MRPS700790 ,Major Pharmaceuticals Allergy Tablets 4mg 24s Compare to Chlor-Trimeton Tabs NDC# 00904-0012-24 ,"Allergy Tablets, 4mg, 24's, Compare to Chlor-Trimeton Tabs, NDC# 00904-0012-24",allergy-tablets-4mg-24s-compare-to-chlor-trimeton-tabs-ndc-00904-0012-24-e96.jpg
SKU:  MKS17122700 ,McKesson Sore Throat Relief Liquid sunmark 6 fl. oz ,Sore Throat Relief Liquid sunmark 6 fl. oz ,sore-throat-relief-liquid-sunmark-6-fl-oz-9f9.jpg
SKU:  MKS17842700 ,McKesson Allergy Relief sunmark 10 mg 30 per Box ,Allergy Relief sunmark 10 mg 30 per Box. ,allergy-relief-sunmark-10-mg-30-per-box-e7a.jpg
SKU:  MKS17862700 ,McKesson Cough Relief Liquid sunmark 12 oz. ,Cough Relief Liquid sunmark 12 oz. ,cough-relief-liquid-sunmark-12-oz-c4f.jpg
SKU:  MKS17962700 ,McKesson Children's Cold and Cough Relief Liquid sunmark 1-2.5-5 mg / 5 ml 4 oz. ,Children's Cold and Cough Relief Liquid sunmark 1-2.5-5 mg / 5 ml 4 oz. ,childrens-cold-and-cough-relief-liquid-sunmark-1-25-5-mg-5-ml-4-oz-0f6.jpg
SKU:  MKS17972700 ,McKesson Childrens Cold and Allergy Relief Liquid sunmark 2.5-1MG/5 4 oz. ,Childrens Cold and Allergy Relief Liquid sunmark 2.5-1MG/5 4 oz. ,childrens-cold-and-allergy-relief-liquid-sunmark-25-1mg-5-4-oz-90f.jpg
SKU:  MKS18022700 ,McKesson Cough Relief Liquid sunmark® 100mg / 5ml 4 oz. ,Cough Relief Liquid sunmark 100mg / 5ml 4 oz. ,cough-relief-liquid-sunmarkreg-100mg-5ml-4-oz-930.jpg
SKU:  MKS20392700 ,McKesson Sinus Decongestant sunmark 1 oz. ,Sinus Decongestant sunmark 1 oz. ,sinus-decongestant-sunmark-1-oz-3bc.jpg
SKU:  MKS21572700 ,McKesson Cough Relief Liquid sunmark 4 oz. ,Cough Relief Liquid sunmark 4 oz. ,cough-relief-liquid-sunmark-4-oz-301.jpg
SKU:  MKS21572700 ,McKesson Cough Relief Liquid sunmark 4 oz. ,Cough Relief Liquid sunmark 4 oz. ,cough-relief-liquid-sunmark-4-oz-301.jpg
SKU:  MKS21792700 ,McKesson Cold and Cough Relief Liquid sunmark ,Cold and Cough Relief Liquid sunmark 100-10-5MG 8 oz. ,cold-and-cough-relief-liquid-sunmark-894.jpg
SKU:  MKS27962700 ,McKesson Cough Relief Rub sunmark 3.5 oz. ,Cough Relief Rub sunmark 3.5 oz.,cough-relief-rub-sunmark-35-oz-c7d.png
SKU:  MKS27962700 ,McKesson Cough Relief Rub sunmark 3.5 oz. ,Cough Relief Rub sunmark 3.5 oz.,cough-relief-rub-sunmark-35-oz-c7d.png
SKU:  MKS33042700 ,McKesson Allergy Relief McKesson Brand 10 mg 30 per Bottle ,Allergy Relief McKesson Brand 10 mg 30 per Bottle.,allergy-relief-mckesson-brand-10-mg-30-per-bottle-592.jpg
SKU:  MKS33452700 ,McKesson Sinus Decongestant McKesson Brand 1.5 oz. ,Sinus Decongestant McKesson Brand 1.5 oz. ,sinus-decongestant-mckesson-brand-15-oz-74e.jpg
SKU:  GESDBS00043A ,Geiss Destin and Dunn Good Sense Honey Lemon Cough Drops ,Good Sense cough drops contain a cough suppressant and oral anesthetic to ease sore throat pain and cough. Features soothing mentholatum vapors and delicious honey lemon flavor. Compare to the active ingredient in Halls.,good-sense-honey-lemon-cough-drops-cad.jpg
SKU:  GESDBS00044 ,Geiss Destin and Dunn Sugar-free Black Cherry Cough Drops ,Good Sense Sugar Free Black Cherry Cough Drops 25 count. Compare to Halls.,sugar-free-black-cherry-cough-drops-534.jpg
SKU:  CRFU5257 ,CareFusion Modudose Unit Dose Saline ,0.9% sodium chloride for inhalation. ,modudose-unit-dose-saline-5fd.jpg
SKU:  NWWIED5G ,New World Imports Artificial Tears Eye Drops 0.5 oz Compared to the Active Ingredients of Visine® Tears ,"The eye drops are for the temporary relief of burning and irritation of the eye due to dryness, relief of redness due to minor eye irritations, and for use as a protectant against further irritation. ",artificial-tears-eye-drops-05-oz-compared-to-the-active-ingredients-of-visinereg-tears-7de.jpg
SKU:  NWWIED5 ,New World Imports Artificial Tears Eye Drops 1/2 oz ,Artificial Tears Eye Drops 0.5 oz NBE Visine Tears. ,artificial-tears-eye-drops-1-2-oz-497.jpg
SKU:  MRPS700650 ,Major Pharmaceuticals Opti Clear Drops ,Major Pharmaceuticals Opti Clear Drops are high quality drops that can be compared to the product Visine. ,opti-clear-drops-54d.jpeg
SKU:  HOLS7717M ,"Hollister m9 Odor Eliminator Drops, 8 oz Bottle ",Convenient dropper bottle contains powerful m9 odor eliminator drops for the ostomy pouch. Safely and effectively destroys odors; does not just mask them. Available unscented or with a pleasant apple scent.,m9-odor-eliminator-drops-8-oz-bottle-9ba.jpg
SKU:  RLMZR4OZEDA ,"ReliaMed Ostomy Odor Eliminator Drops 4 oz. Bottle, Non-Sterile ","ReliaMed ostomy odor eliminator drops. Powerful formula provides hours of odor protection. Convenient to use; place a few drops into the pouch prior to attachment. Blue color provides a visual indication of surface coverage. 4 oz. Bottle, Non-Sterile. ",ostomy-odor-eliminator-drops-4-oz-bottle-non-sterile-8eb.jpg
SKU:  RLMZR8OZEDA ,ReliaMed Ostomy Odor Eliminator Drops 8 oz. Bottle Non-Sterile ,ReliaMed ostomy odor eliminator drops. Powerful formula provides hours of odor protection. Convenient to use; place a few drops into the pouch prior to attachment. ,ostomy-odor-eliminator-drops-8-oz-bottle-non-sterile-c37.jpg
SKU:  RLMZR8OZLD ,ReliaMed Ostomy Lubricating Deodorant Drops 8 oz. Bottle ,"ReliaMed ostomy lubricating deodorant drops. Similar to ReliaMed odor eliminator drops, but with the addition of a lubricant to facilitate cleansing of drainable pouches. ",ostomy-lubricating-deodorant-drops-8-oz-bottle-e51.jpg
SKU:  AWRHP-800800-5 ,Arrowhead Healthcare Supply Home Care Bed Kit ,The Homecare Bed Monitoring System alerts the caregiver when a patient leaves their bed without assistance. Alarm automatically resets when a patient lays or sits back down. ,home-care-bed-kit-88e.jpg
SKU:  SOAA12508B ,Safetec ICE Pain Relieving Muscle Rub .135oz. Pouch ,"Safetec ICE – Pain Relieving Muscle Rub is a calming therapeutic anti-inflammatory intended for daily use after any physical activity or workout. Simply apply this natural, colorless gel to the affected area(s), and allow the revitalizing peppermint oil and soothing aloe vera to quickly alleviate and remedy your aches and pains. Easily prevent lingering soreness and pain by having Safetec ICE readily on hand.Single-use pouches are perfect for clinics, first aid kits, or in purses and bags, for when you are on-the-go. ",ice-pain-relieving-muscle-rub-135oz-pouch-ead.jpg
SKU:  GCAI002526 ,GC America Dry Mouth Relief Gel ,"GC Dry Mouth Gel is designed to ease the symptoms of dry mouth for patients who may be suffering from impaired production of saliva due to medications, radiation treatment or diseases that can damage the salivary glands. This product provides a protective coating for teeth and oral tissue.Dry Mouth Gel is composed of: Diglycerin (moisturizer), Water, Cellulose Gum (to stabilize, thicken and bind), Carrageenan ( binder, thickening agent) Sodium Citrate, Aroma, ethylparaben (paraben family of preservatives), Limonene (colorless liquid found in flowers, aroma-oranges), Citral (oils of plants-lemon grass, etc.) and Linalool (fragrance - component of essential oils). Was This Answer Helpful? ",dry-mouth-relief-gel-178.jpg
SKU:  WA92821 ,Welch Allyn 2.5v PocketScope Portable Diagnostic Set ,This set includes our PocketScope Ophthalmoscope and Otoscope along with a PocketScope AA alkaline battery handle for each instrument. ,25v-pocketscope-portable-diagnostic-set-c71.jpg
SKU:  MRPS100178 ,Major Pharmaceuticals MAPAP 160mg Junior Rapid Tabs ,Compare to: Tylenol Jr 160MG Chew Tabs [MAJOR]. ,mapap-160mg-junior-rapid-tabs-ce4.jpg
SKU:  MRPS700731 ,Major Pharmaceuticals Aspir Low Enteric Coated 81mg 120s Compare to Bayer Low Dose ,Aspir Low Enteric Coated 81mg 120s Compare to Bayer Low Dose. ,aspir-low-enteric-coated-81mg-120s-compare-to-bayer-low-dose-235.jpg
SKU:  FAOI20-455 ,First Aid Only Extra Strength Non Aspirin ,"Pain reliever and fever reducer. Temporarily relieves headaches, toothaches, and other minor aches and pains. Does not contain aspirin. Active Ingredients: Acetaminophen 500mg. Sold as a box of 50 individually sealed packets of 2 tablets. Perfect for standalone first aid or as a refill for a kit. ",extra-strength-non-aspirin-f8c.png
SKU:  GERC901-01-GCP ,Gericare Aspirin 325MG 100 Bottle ,"Aspirin Tablets, 325 mg. NSAID, pain reliever, fever reducer. 100 per bottle. Compare to the active ingredient in Bayer® Aspirin.",aspirin-325mg-100-bottle--048.jpg
SKU:  MKS15362700 ,McKesson Pain Relief Pain-Off 250 mg / 250 mg / 65 mg Strength Tablet 2 per Packet ,"For extra strength relief from the pain of headache, toothache, muscle achess and arthritis. ",pain-relief-pain-off-250-mg-250-mg-65-mg-strength-tablet-2-per-packet-dcd.jpg
SKU:  MKS22412700 ,McKesson Pain Reliever McKesson Brand Caplet 100 per Bottle 500 mg ,Pain Reliever McKesson Brand Caplet 100 per Bottle 500 mg ,pain-reliever-mckesson-brand-caplet-100-per-bottle-500-mg-9a1.jpg
SKU:  MKS45252700 ,McKesson Sunmark Oral Suspension Pain Reliever - 4 oz. ,Sunmark oral suspension pain reliever - 4 oz. ,sunmark-oral-suspension-pain-reliever-4-oz-832.jpg
SKU:  MKS60002700 ,McKesson Syrup Stool Softener - 16 oz ,Mckesson brand syrup stool softener - 16 oz. ,syrup-stool-softener-16-oz-cb7.jpg
SKU:  MKS63242700 ,McKesson Sunmark Children's Ibuprofen Oral Suspension ,Sunmark pain reliever oral suspension 8 oz. 100 mg / 5 ml,sunmark-childrens-ibuprofen-oral-suspension-d33.jpg
SKU:  MKS65012700 ,McKesson Pain Reliever Caplet ,Mckesson brand pain reliever caplet 100 per bottle 650 mg,pain-reliever-caplet--ccc.jpg
SKU:  MKS70052700 ,McKesson McKesson Aspirin Tablet ,Mckesson aspirin tablet 100 per bottle 325 mg,mckesson-aspirin-tablet-148.jpg
SKU:  MKS79612700 ,McKesson Sunmark Complete Ready-To-Use Enema ,"Sunmark enema (118 ml per delivered dose): monobasic sodium phosphate, 19g / dibasic sodium phosphate, 7g 4.5 oz",sunmark-complete-ready-to-use-enema-1a3.jpg
SKU:  MKS80842700 ,McKesson Sunmark Acid Reducer - Famotidine Tablets ,Sunmark acid reducer - famotidine tablets ,sunmark-acid-reducer-famotidine-tablets-657.jpg
SKU:  MKS81252700 ,McKesson Sunmark Pain Reliever Caplet 50 per Bottle 500 mg ,Sunmark Pain Reliever Caplet 50 per Bottle 500 mg. ,sunmark-pain-reliever-caplet-50-per-bottle-500-mg--e50.jpg
SKU:  MKS81302700 ,McKesson Aspirin Brand Tablet 300 per Bottle 81 mg ,Aspirin Brand Tablet 300 per Bottle 81 mg. ,aspirin-brand-tablet-300-per-bottle-81-mg--2b0.jpg
SKU:  MKS82102700 ,McKesson Pain Reliever Brand Tablet 1000 per Bottle 200 mg ,Pain Reliever Brand Tablet 1000 per Bottle 200 mg. ,pain-reliever-brand-tablet-1000-per-bottle-200-mg--cc0.jpg
SKU:  MKS85212700 ,McKesson Sunmark Nicotine Lozenges 2 mg ,Sunmark Nicotine Lozenges 2 mg. ,sunmark-nicotine-lozenges-2-mg--6a1.jpg
SKU:  MKS85312700 ,McKesson Sunmark Nicotine Lozenges 4 mg ,Sunmark Nicotine Lozenges 4 mg. ,sunmark-nicotine-lozenges-4-mg--305.jpg
SKU:  MKS91132700 ,McKesson Aspirin Chewable Tablet 36 per Bottle 81 mg ,Aspirin Chewable Tablet 36 per Bottle 81 mg. ,aspirin-chewable-tablet-36-per-bottle-81-mg--30e.jpg
SKU:  MKS91362700 ,McKesson Sunmark Nicotine Gum 2 mg ,Sunmark Nicotine Gum 2 mg. ,sunmark-nicotine-gum-2-mg--6b8.jpg
SKU:  MKS92362700 ,McKesson Sunmark Nicotine Gum 4 mg ,Sunmark Nicotine Gum 4 mg. ,sunmark-nicotine-gum-4-mg--91f.jpg
SKU:  MKS94012700 ,McKesson Expectorant Tablet Brand 400 mg 100 per Box ,Expectorant Tablet Brand 400 mg 100 per Box. ,expectorant-tablet-brand-400-mg-100-per-box--345.jpg
SKU:  MKS94612700 ,McKesson Sunmark Acid Reducer 25 per Box Tablet ,Sunmark Acid Reducer 25 per Box Tablet. ,sunmark-acid-reducer-25-per-box-tablet--4e3.jpg
SKU:  MKS97802700 ,McKesson Allergy Relief Brand 12.5 mg / 5 mL 16 oz. ,Allergy Relief McKesson Brand 12.5 mg / 5 mL 16 oz. ,allergy-relief-brand-125-mg-5-ml-16-oz--61b.jpg
SKU:  MKS30402700 ,McKesson Aspirin McKesson Brand Tablet 1000 per Bottle 325 mg ,Aspirin McKesson Brand Tablet 1000 per Bottle 325 mg.,aspirin-mckesson-brand-tablet-1000-per-bottle-325-mg-03e.png
SKU:  MKS10512700 ,McKesson Aspirin McKesson Brand Tablet 2 per Packet 325 mg ,Aspirin McKesson Brand Tablet 2 per Packet 325 mg ,aspirin-mckesson-brand-tablet-2-per-packet-325-mg-0d8.jpg
SKU:  MKS11342700 ,McKesson Pain Reliever McKesson Brand Tablet 250 per Bottle 200 mg ,Pain Reliever McKesson Brand Tablet 250 per Bottle 200 mg. ,pain-reliever-mckesson-brand-tablet-250-per-bottle-200-mg-95e.jpg
SKU:  MKS12732700 ,McKesson Pain Reliever sunmark Caplet 500 per Bottle 500 mg ,Pain Reliever sunmark Caplet 500 per Bottle 500 mg. ,pain-reliever-sunmark-caplet-500-per-bottle-500-mg-639.jpg
SKU:  MKS13562700 ,McKesson Allergy Relief sunmark 10 mg 36 per Box ,Allergy Relief sunmark 10 mg 36 per Box. ,allergy-relief-sunmark-10-mg-36-per-box-110.jpg
SKU:  MKS14802700 ,McKesson Aspirin sunmark Tablet 125 per Bottle 325 mg ,Aspirin sunmark Tablet 125 per Bottle 325 mg. ,aspirin-sunmark-tablet-125-per-bottle-325-mg-d84.jpg
SKU:  MKS14842700 ,McKesson Allergy Relief sunmark 180 mg 15 per Box ,Allergy Relief sunmark 180 mg 15 per Box. ,allergy-relief-sunmark-180-mg-15-per-box-810.jpg
SKU:  MKS14852700 ,McKesson Allergy Relief sunmark 180 mg 30 per Box ,Allergy Relief sunmark 180 mg 30 per Box ,allergy-relief-sunmark-180-mg-30-per-box-0e4.jpg
SKU:  MKS17322700 ,McKesson Pain Reliever sunmark Coated Tablet 500 per Bottle 200 mg ,Pain Reliever sunmark Coated Tablet 500 per Bottle 200 mg. ,pain-reliever-sunmark-coated-tablet-500-per-bottle-200-mg-296.jpg
SKU:  MKS17382700 ,McKesson Pain Reliever sunmark Tablet 100 per Bottle 325 mg ,Pain Reliever sunmark Tablet 100 per Bottle 325 mg. ,pain-reliever-sunmark-tablet-100-per-bottle-325-mg-ad4.jpg
SKU:  MKS17572700 ,McKesson Pain Reliever Ibutab Tablet 2 per Packet 200 mg ,Pain Reliever Ibutab Tablet 2 per Packet 200 mg. ,pain-reliever-ibutab-tablet-2-per-packet-200-mg-a11.jpg
SKU:  MKS17572700 ,McKesson Pain Reliever Ibutab Tablet 2 per Packet 200 mg ,Pain Reliever Ibutab Tablet 2 per Packet 200 mg. ,pain-reliever-ibutab-tablet-2-per-packet-200-mg-a11.jpg
SKU:  MKS18532700 ,McKesson Pain Reliever sunmark Tablet 500 per Bottle 325 mg ,Pain Reliever sunmark Tablet 500 per Bottle 325 mg. ,pain-reliever-sunmark-tablet-500-per-bottle-325-mg-05a.jpg
SKU:  MKS19102700 ,McKesson Pain Reliever sunmark Caplet 100 per Bottle ,Pain Reliever sunmark Caplet 100 per Bottle. ,pain-reliever-sunmark-caplet-100-per-bottle-cff.jpg
SKU:  MKS19162700 ,McKesson Pain Reliever sunmark Coated Tablet 100 per Bottle 200 mg ,Pain Reliever sunmark Coated Tablet 100 per Bottle 200 mg. ,pain-reliever-sunmark-coated-tablet-100-per-bottle-200-mg-587.jpg
SKU:  MKS19342700 ,McKesson Pain Reliever sunmark Caplet 100 per Bottle 650 mg ,Pain Reliever sunmark Caplet 100 per Bottle 650 mg ,pain-reliever-sunmark-caplet-100-per-bottle-650-mg-a8e.jpg
SKU:  MKS20622700 ,McKesson Pain Relief sunmark Cream 3 oz. 3 oz. ,Pain Relief sunmark Cream 3 oz. 3 oz. ,pain-relief-sunmark-cream-3-oz-3-oz-b40.jpg
SKU:  MKS21062700 ,McKesson Pain Reliever Brand Tablet 50 per Bottle 500 mg ,Pain Reliever Brand Tablet 50 per Bottle 500 mg. ,pain-reliever-brand-tablet-50-per-bottle-500-mg-487.jpg
SKU:  MKS21182700 ,McKesson Aspirin McKesson Brand Tablet 120 per Bottle 81 mg ,Aspirin McKesson Brand Tablet 120 per Bottle 81 mg. ,aspirin-mckesson-brand-tablet-120-per-bottle-81-mg-059.jpg
SKU:  MKS21252700 ,McKesson Aspirin McKesson Brand Tablet 250 per Bottle 325 mg ,Aspirin McKesson Brand Tablet 250 per Bottle 325 mg. ,aspirin-mckesson-brand-tablet-250-per-bottle-325-mg-f50.jpg
SKU:  MKS22062700 ,McKesson Pain Reliever sunmark Tablet 120 per Bottle 81 mg ,Pain Reliever sunmark Tablet 120 per Bottle 81 mg. ,pain-reliever-sunmark-tablet-120-per-bottle-81-mg-768.jpg
SKU:  MKS22112700 ,McKesson Pain Reliever sunmark Gel Cap 100 per Bottle 500 mg ,Pain Reliever sunmark Gel Cap 100 per Bottle 500 mg. ,pain-reliever-sunmark-gel-cap-100-per-bottle-500-mg-f4b.jpg
SKU:  MKS28042700 ,McKesson Pain Reliever sunmark Tablet 50 per Bottle 220 mg ,Pain Reliever sunmark Tablet 50 per Bottle 220 mg,pain-reliever-sunmark-tablet-50-per-bottle-220-mg-46c.jpg
SKU:  MKS31762700 ,McKesson Aspirin McKesson Brand Tablet 1000 per Bottle 325 mg ,Aspirin McKesson Brand Tablet 1000 per Bottle 325 mg,aspirin-mckesson-brand-tablet-1000-per-bottle-325-mg-f81.png
SKU:  MKS32422700 ,McKesson Pain Relief sunmark Cream 4 oz. 4 oz. ,Pain Relief sunmark Cream 4 oz. 4 oz.,pain-relief-sunmark-cream-4-oz-4-oz-68f.jpg
SKU:  MKS35132700 ,McKesson Pain Reliever sunmark Tablet 100 per Bottle 220 mg ,Pain Reliever sunmark Tablet 100 per Bottle 220 mg. ,pain-reliever-sunmark-tablet-100-per-bottle-220-mg-166.jpg
SKU:  MKS41502700 ,McKesson Pain Reliever McKesson Brand Tablet 500 per Bottle 200 mg ,Pain Reliever McKesson Brand Tablet 500 per Bottle 200 mg. ,pain-reliever-mckesson-brand-tablet-500-per-bottle-200-mg-e4e.jpg
SKU:  GESDLP13184 ,Geiss Destin and Dunn Extra Strength Pain Relief PM ,Good Sense Extra Strength Pain Relief PM. Acetaminophen/Diphenhydramine HCI 500mg pain reliever and sleep aid for the temporary relief of occasional headaches and minor aches and pains with accompanying sleeplessness. 50 count. Compare to the active ingredients of Extra Strength Tylenol PM. ,extra-strength-pain-relief-pm-d4e.jpg
SKU:  DMI616-4505-0000 ,"Briggs Healthcare DMI TheraBeads Neck Pain Relief White 6-1/2"" x 22"" ","Microwaveable moist heat therapyConforms to the neck or shoulder area for a soft, snug fitFully adjustable with hook and loop closure to help prevent slippageIncludes a white, machine washable coverMoist heat for maximum reliefLatex Free ",dmi-therabeads-neck-pain-relief-white-6-1-2-x-22-96b.jpg
SKU:  3M1570 ,"3M Health Care Nexcare Reusable ColdHot Pack, 4"" x 10"" Pack Reusable ","Soft, Gel-Filled Pillow Can Be Used On Any Part Of The Body To Provide Hot Or Cold Pain Relief, Generously Sized At 10"" X 4"". Can Be Stored In A Freezer Until Ready To Use, Remaining Pliable, Even When Frozen. Reusable Packs Are A Convenient, Economical Alternative To Disposable First Aid Packs. Includes 2 Packs And 2 Covers Per Box. ",nexcare-reusable-coldhot-pack-4-x-10-pack-reusable-385.jpg
SKU:  SAJD4470886 ,SAJ Distributors Citrate of Magnesium Cherry 10 oz ,Saj Select Brand Laxatives & Suppositories. ,citrate-of-magnesium-cherry-10-oz-81c.jpg
SKU:  SAJD4470886G ,SAJ Distributors Citrate of Magnesium Cherry - 10 Ounces ,SAJ SELECT BRAND LAXATIVES & SUPPOSITORIES ,citrate-of-magnesium-cherry-10-ounces-a5c.jpg
